Q,A
몇 층에 있어요?,층별로
몇달에 한번씩해?,한달에한번
몇도가 적당해요?,높은 온도로 훅 따뜻하게 만들고 끄는편
몇시까지 여나요?,10시!
몇시까지 열어??,인터넷에 쳐봐라 핑프야ㅋㅋㅋㅋ
몇시까지 인가요?,24시간
몇시까지 하나요?,9시
몇시까지 했나요?,9시 반
몇시까지인가요??,12
몇시부터 문열어?,8시30분
몇일에 들어오나?,물어봐 가게마다 달라
몇층 선호하세요?,무조건 꼭대기임 아니면 ㄹㅇ 층간소음 스트레스
몇층에 있나요??,1층이요  쓸 생각안하는 게 좋음
몇학점 신청했어?,18.5
모바일로 하는건가,사이트임
무슨과 어디서함?,왜 너도오게?
무시무시하구먼ㅋㅋ,ㅈㅂㅌㅅ의 위대한 ㅇㅊㅎ교수님이시다 꼭 들어!!
무조건 해야 함?,ㄴ 하고싶은애들 많음
문제 많지 않음?,왜많음
물 속에 계신가?,1학기때 들었는데 진짜 드랍마렵더라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
뭐 만드는건가여?,나도 오늘 걸어가면서 궁금했는데 ㅋ
뭐 잘못됐나..?,나도 한과목 안나옴
뭐 타고 가나염?,비행기
뭐가 다르지..?,이름이 달라!
뭐가 다른건가요?,똑같은거임
뭐가 더 재밌음?,난 주술회전이 더 재밌었음
뭐가 좋아요???,랩실력이 늡니다.
뭐지? 어디있을까,와 나돈데
뭘로 해결해야해?,코카인댄스춰
바꿀 수 있어??,그거 통합학사 들어가서 변경하면 변경되는걸로 아는데 한번 해봐
바뀔 확률 없지?,바뀌면 나 울어
바로 밭대인거야~,뇌절금지
바지 어디서 삼?,허리 24 부럽네
바퀴 무조건이야?,무조건은 아닌데 가능성은 높아져요
받아야되는데 오늘,거기 경기한다고 닫았어 유성선병원으로 가
받을 곳 있나요?,월드컵
발로란트할사람??,Ascndntヅ#1tap 친추행
배우는 과목있어?,유튜브보면 금방따라하기 가능!
배치도에는 없어서,호실에서 문을 기준으로 a 왼쪽 b 오른쪽 자리
버스태워줄사람!?,2개월이면 강아지도 젖은 땝니다
벌써 망한것같은데,보통 있긴한데 계절학기도 ㅅㅂㅎ이라 딴교수 생기면 재수강을 추천함
보고서 어따올림?,보고서 양식은 따로 없고 본인이 알아서 작성하는거죠?
보일러 잘 나와?,아침에 좀 추움
보통 무슨동이야?,크로바@
보통 얼마야???,키로에 3만원 정도 햇던거 같아
복사 가능한 곳?,아임일리터 옆
복층 별로임?.?,복층은 웬만해서 다 별로임
볼 사람 없어요?,4인팟?
부분점수 있을까?,ㅈ댓다
부분점수도 안줌?,다 부분점수있어여
부탁드랴요 ㅠㅠㅠ,못찾았어요 퓨ㅠ
부탁드립니다...,Apr-70
비대면 맞나요??,맞는거같은데 저도 궁금하네요 ㅠ
비슷한거라도...,반클리프
비챤이 부끄러워?,뭔글있었음?
빅데이타 경진대회,안해요
뽀글이 패딩?.?,지금 개추운데 내일은 ㄹㅇ 얼을듯
사람 마늠 ???,꽤 늘어남
사람 좀 있나요?,만타
사람많이 몰릴까?,대전에 그냥 밥 먹으러가는거면 안 많을듯
사전투표 생각하면,사실상 승리임
살았니? 죽었니?,문자는살고 미디어는 죽음
살짝 재밌을지도?,돌아버린거냐
삼겹살 먹고싶은데,맛남
삼천동 사는사람?,나 전주 삼천동
상관없겠지...?,나도고민중 ㅋㅋ
샐러드집 있나요?,아파트 근처에 밤토리샐러드있어요 긱사 기준 10분정도 걸어야됩니다! 그리고 긱사 미래동 1층에 세이빙카페 있어요!
생활 어떤가요??,3층 살았었는데 괜찮았음
성적 3.97인뎅,될듯
성적 장학금이야?,알고싶으면 야옹해봐
성적에서 볼수있음,넌 몇점인데?
성적장학금 가능?,보통 전장 가능
성적확인 언제야?,27일 에타에 글 쓸 시간에 공지 확인하자
셤 몇분 걸림??,난 시간 다 채우고 나옴
셤들 잘봣나요?!,누구교수님이세용
소속 어디셔..?,노마드
속도 어떤가요??,ㄴㄴ 문서 작업만 가능한 정도
수강 가능한가요?,물1부터 들으세요
수강신청하려햇는데,상담을 신청후에 한다는게 아니고 수강신청을 상담후에 한다는거?
수강철회해보신분?,전공 교양?
수도세 얼마나와?,5-6천
수선집 있나 ??,명품세탁소 ㄱ 친절하고 좋음
수업 괜찮은가요?,으음 네
수업 하셨나요??,이번주 휴강한다는 예기있었음? 휴강 글 왜캐 많이 올라와?
수업때 어디앉아?,나 당당하게 맨앞
수업해? 줌으로?,오늘 녹강아니야?
승인이 안돼..?,되던데
시험 몇문제야?!,시험 시간 언제야??
시험 몇시인가요?,10시요
시험 어떻게 봄?,망하는 거지 뭐
시험도 안 보지?,교수님 맘이지
시험들 잘봐 ㅎㅎ,화이팅 ㅠㅠㅠ
식당 2층인가요?,거기는 행정실이에요
신입생도있길래..,쉰입생
신한카드예요...,위에 누가 100원 긁었대여
심지어 알바처음임,됐으면 해
써니pc방 망함?,ㄹㅇ 목금토 가봤는데 문 안열음. 안내문도 없어서 바로 옆 부동산에 여쭤봤는데 영업중지는 안 했다고 함
쓰러지셨나...?,으잉? 무슨 일이야
씨엘 어떤가요??,그냥 그럼
ㅇㅅㅎ교수님입니다,6/1까지 녹강수업입니다
아는 사람 이씀?,귀두컷
아니 아무도 없네,..?
아니면 1학년만?,모든 학년일걸유?
아니면 기말이라도,종강 6월 18일인가로 알고있음
아오 이거 맞아?,난 3남았어
아ㅋㅋ 구라치지마,구라래
아픈거 며칠가??,0일
안따지지 않나??,우수장학금은 안보고 한밭 우수 장학금은  분위 낮은사람들 중에 성적 본거
알리좀 알려주..,얼은 좀 탐
알바하기에 어떰?,내가 자주감잘생긴 사람 보면 인사해줘
액상 전담 어떰?,좋긴한데 액상이 마음에 안들면 별로야
약국에서만 파나?,팔아
얄려주면 감사함둥,나도 알려줘 제발 ㅠㅠ
양성 뜨면 우쨈?,그대로 과대나 교수님한테 연락드리고 pcr받으러 가세요
얘들 일 안하냐?,뒷담화 까느라 바쁨
어디 나와있지..,통합학사!
어디 뜬다는 거야,빠지는 과목 클릭하고 신규 눌러봤어? 신청사유 뜰텐데..
어디 신청했어??,난 한울회
어디서 받음???,목련화동 1층 가서 받으면 됨
어디서 틀린거야?,c대문자아님?
어디서볼수잇어…?,도서관 홈피에 있던가
어디서사나요?🥺,슈퍼에 왠만하면 팔걸
어디어디 있나요?,1층에 한개 있어요
어디에 쓸거야??,옷사고 저축
어디에 있나요??,보통 1층에 있던데
어디쪽 구했어??,너 구했어?
어디쪽에 있나요?,식당 건물에 KB은행 맞은편에 있어요
어딨는지 모르겠어,서점있는층에있어
어때? 살 만해?,웅 딱하나 불편한거 한손으로 열고닫을수 없는거 정두?!
어때? 상큼하지?,휴학 안해?
어때? 할만할까?,"1시간반 통학 했었는데, 통학 할 수는 있지만 진짜 학교한번 갔다오면 지쳐서 하루가 끝남"
어떤 식으로 함?,안하는 반도 이써요
어떤게 나을까요?,집에서 컴으로해도 충분
어떻게 되나요??,경상 정시 3등급으로 옴
어떻게 세탁해??,손빨래 드라이
어떻게 해야할까?,그래? 근데 협박죄보다 그 합의금이 발생한 사건죄가 더 우선되는거 아니야?
어떻게 해여 ??,거기 온라인강의 온라온거 (금요일에 올라오더라) 듣고 사진찍고 노트 대충 사진찍고 이메일로
어렵게 내시나요?,네 ㅜ
어차피 통합될거면,갈수있을때 가라
언제부터 시작임?,나도알려줘
언제부터 시작함?,ㅋㅋ
언제부터 주나용?,아마 27 저녁부터
얼마나 걸렸나요?,저도 궁금..!
얼마나 걸리나요?,자기가 풀기에 따라 다름 오분컷도 가능
얼마나 힘들어??,3.7에서 3.1로 떨어짐ㅋㅋㅋㅋㅋ썅
얼마정도 내야돼?,길이만 수선하는건 얼마 안할걸? 몇천원??
에어컨 틀어줌.?,중앙제어 개그튼거
여러분의 선택은?,전
여명고르면 욕함?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오
여자분들 많나요?,꽤 있던디
연락 온 사람??,ㄴㄴ 왔음?
연락온사람 있어?,그거 언제 발표나는거야 나도 신청했는데
연장할 수 있나?,2주 정도고 연장은 가능!
열심히 하시지 ㅎ,그러게요~?
예쁜 애들 많음?,많은데 너 좋아할 여자는 없어
오늘 대면 임 ?,대면임??
오늘 메뉴아는분?,검색ㄱ
오늘 손님많나요?,서래 물어보더니 이번엔 한밭뒷고기야?
오늘 수업있나요?,네있는걸로알아요
오늘 수업해???,안해
오늘 점호하나요?,헐 진짜요??
오늘 휴무일인가?,사장님 잠시 똥싸러 가심
오늘도 24시 ?,ㄴㄴ 17일까지
오늘도 수퍼비와?,가야제~
오늘은 괜찮음??,엉?? 난 학교 갈 때마다 괜찮았는데
오늘은 넣어주나?,넣었네
오늘은 안열었죠?,뉑
오전 10시겠지?,ㅇㅇ오전이겠지..
오픈북 테스트야?,아닌듯
옷 수선집있나요?,덕명중쪽에 수선집있어요
왐마 귀찮아죽겟다,유온역에두 있음
왜 11시까지야?,불미스러운 일이 있었다고 적혀있던데
왜 내일 안열어?,안 열어…?
왜 다영어냐..?,내말이 ;;
왜 안 되냐???,아니 나 호스트가 들어오개 해준다는데 안되냐
왜 재밌지...?,이번주 목 테라시작이네
왜이렇게터짐..?,학생들만 방학인거임
왜이리 시끄러움?,오늘부터 이제 영업정지 풀렸자나
왤케 짧죠? ㅜㅜ,그니까 강제로 복학당했어
외투 입어야 해?,아침에는 좀 쌀쌀해서 입어야할듯
요즘 머 입어요?,바람막이
요즘 총 쏘나용?,총만 쏘면 다행이다..
요즘도 안좋나요?,장터게시판 보니깐 괜찮던데???
우리 대면해??!,ㄴㄴ 한단말없음
운동장에 사람많네,휴학생임?
운영하고 있나요?,일리터옆 로반이면 열었어요
워드 파일도 됨?,나 항상 워든데 했음
월 23인데...,?? 왜
월세 얼마정도야?,35~25사이
윤 왜뽑음??ㅋㅋ,1번은 관상이 사악하게 생겼어..
음려수 자판기..,학식건물에 편의점 있자너
음료 반입불가지?,냄새만 안나면 크게 상관 없음
이 교수님 싫은디,트랙이나 연구년도 이런 변수없으몀 안바뀜
이거 교바교임??,볼펜으로풀면 어케지우는데
이거 맞지 않아?,"괄호 였음,,"
이거 뭐야..??,지금부터 캐시백 안돼
이거 쓸만 함??,이삼년 쓰고 버릴거면 ㄱㅊ
이거밖에 안남았네,남는것에는 이유가있는법
이거팩트냐? ㄷㄷ,신세계 짓는것도 광주 시민들이 반대함
이건 뭔 감성임?,사람마다 생각이 다른거지 뭘ㅋㅋ 신경삭이 이어진 것도 아니고
이건 별로야 흑흑,막걸리는 밤막걸리지
이게 무슨....,"이태원에서 죽으면 지원금 + 세금, 통신요금 감면 나라지키다 죽으면 느그 아들"
이런건 없나..?,ㅋㅋㅋㅋㅋㅋㅋㅋ친구들이랑 거
이런경우 있는사람,다 원래 그런데 음성이면 이야기가 다르지
이렇게 되어있는데,그거 과정 잘 읽어봐 서류완료 다음에 근로대상자로 합격되어야 근로대기로 바뀜
이불빨래는 가능?,들어가긴해
이용 가능한가요?,머니
이재명? 윤석열?,경합
이제 못내는거임?,내는 시기 있음
이제 좀 무서운디,마스크도 쓰고있어…?
일단 너부터 ㅋㅋ,너무쉽노 ㅋㅋ
일단 사긴했는데…,OT가면 ㅇ매기해주김
일요일에도 하나?,일요일엔 안열었던거같음
잃어버리신분 ??,아마 118-A분이 잃어버리신 것 같아요
입사하고 내나요?,전에 냅니다
있나요? 아시는분,정문에서 도서관까지 스케이트타기 진짜 좋지 않아? 탄 적은 없지만.
있다고 해주세요ㅠ,네 걱정 ㄴㄴ 3차도 있음
있으면 댓글좀..,동아리
있으면 매장추천좀,코데즈 컴바인 ㄱ
있으면 어땟음??,40도에서 딸기 따다가 죽을뻔했다
ㅈㄱㄴ. 돈 말고,생신까지 시간 좀 남았으면 며칠 지켜보다가 필요할거 같은 물건 사드리는건 어때
ㅈㅎㄱ 교수님..,몇점나오셨길래 만점을 노리시는거죠 ㄷㄷ
자리 없으려나..,오늘 토여일아니엇냐
잠? 그게 뭐죠?,죽어서 몰아자는거 ㅋㅋㅋ
잠복기에도 옮나?,"잠복기도 사람마다 다름, 증상이 안뜰수도있고"
장기자랑은 안함?,하고싶으면 무대 올라가서 해봐
장바구니 담아짐?,ㅇㅇ 상담함?
장바구니 ㅇㅈ임?,ㅇㅈ~
저만 그런가요??,저도 그럽니다 수리 맡겼는데 2시간째 안오시네요....
저만 안되나요..,"나도,,"
저번까진 안되던데,군휴학은 언제든 가능
전공 몇개 들어?,오지게 많이
점수 몇 나왔음?,점수 나옴..?
점수가 어디뜨냐?,그니까요 저도 안 뜨는데ㅠ
점심시간있나요??,아. 네.
점호어디쯤이에요?,7층 끝났어요!
정의는 실현되나?,윤미향 근데 끈질기네 ㅋㅋ 위안부 팔아먹고 다녔으면서
정정기간 언제야?,개강하는첫째주
제목 그대로...,왜..?
제발 알려줘...,웅웅 비대면임
제발 오라고 해줘,왔어내가불렀아
제출해도 되나??,교수님 누구셔
존나 어렵네 ㅋㅋ,아직 시작도 못함.. 너무 어려워
존나게도시끄럽네요,걍 신고할까 소리 ㅈㄴ지르는데
좀 멀어도 되는데,반석
종강이 언제예요?,6월 27일
좋은거추천좀해죠!,덴탈프로 핑크색 올리브영에서도 팔아 이거 몇년째 쓰는중~
주말에는 안열죠?,열음
주점같은건가요??,이번에 술 못판다던데 아닌가
중간고사 보나요?,그러게 공지를 암것도 안해주셔서 과제대체인거 같은데 오늘 수업 진짜 나가기싫다...
중간고사 언제봄?,어제
지금 가려는데..,여기보단 네이버에 쳐봐
지금 그냉 멘붕…,sso 안누르고 로그인했으면 안잠긴거니간 sso로 로그인하면됌
지금 사람 많아?,ㅇㅇ 개많음
지금도 살수있어?,내년에사야함
지금도 하나요??,11시부터요!
지금은 안하시려나,10시까진데 그전에 재료소진으로 마감해서 늦어도 9:40엔 가야함
진심 ㅈ같다 ㅆㅂ,ㅋㅋㅋㅋㅋㅋㅋ 머임
진짜  답도 없네,최종합격자 발표가 난 후에 공지 하겠지
진짜 꿀이야?..,아니...
짝수야 홀수야??,최싱
쪽지 부탁드립니다,안전벨트는 있는데 드릴까요?
쪽지좀 주라 흙흙,그냥 과제 복습해
창문 겁나 흔들려,무섭다 ㄷㄷ
책 사야되는거야?,ㅌㅇㅈ교수님!
책 필요할까요??,전 첫수업들어보고 필요할거같으면 살려고요
철회하는게 나음?,중간 끝나고 철회 못할텐데
첫주차에 못갔는데,별거 안함 그냥 수업해
총 350 ㄱㅊ?,ㅈㄴ 비싸네 서울가서 하남
최근호 빼고 ㅠㅠ,없을거같다…
추천해주세요 ㅠㅠ,업쪄용 타 동네 가야해용
축구 야구 이런거,농구
축구 함? 몇명?,ㅇㅇ 10명정도
축구보러가실분??,예매 어디서 해?
ㅋㅋㅋㅋㅋㅋㅋㅋ;,씥 저거 뭐야
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,뭐가 뭐야;
캐리어에 담아서?,비행기로 옮겨요
컴활 많이 따나?,따던데
코인노래방 있음?,매드락.쌀국수집옆
코트 가디건 ??,염소
큐알 있는거 ㅇㅇ,만우절
탁구칠만한곳있나?,탁구클럽많잖아
태안군 아는 분?,태안반도 기름유출사건?
파는 거 알아??,아놔 이것도 묵고싶넹
파는곳 어디에여?,편의점에 팔아요
파닭맛잇니????,지금 먹는중 이정도면 매우 훌륭함
파오리 와 안나와,파오리 희귀야?
패스워드 뭐임??,학번
페미논란 진짜임?,아니면 복권사야지
편의점 너무 비싸,아이스크림 할인점 있잖아!!
편입생은 못들음?,편입생은 전필만들어도 벅찰텐데
편입할사랍 많나?,나 이번에 중앙대원서 씀 ㅋㅋㅋ
평일 저녁 어떰?,평일 저녁은 동호회분들이 체육관 꽉 잡고 있음
퐁듀피자 어때??,저는 시카고피자가 젤 괜찮은듯
하나 사야될까요?,사나 안사나 똑같음
하나도 빠짐없이?,그렇게 보면 됨
하나요?끝났나요?,1학기에 감
하는 사람 있음?,검도 동아리 있음?
하는 사람있나요?,포켓몬고 진짜 오랜만이네 ㅋㅋ
하면 뭐생각남??,크로니
하신분 있나요??,너무 어려워요…………………..
하실 분 있나요?,APM몇?
학과는 전자공학과,재밌겠냐
학교 가는 사람?,왜 가누
학교 앞 말고!!,항상 고민하다가 엉뚱한 거 먹음
학원 or 인강?,독학
학점 인정 됨 ?,학은제 할라구?
학점은행제 없나?,검색 ㄱ
학하동복지센터요!,외지인은 줄 별로 안 길어요
한달에 얼마임??,13
한번 결석인가요?,교수님마다 조금씩 틀릴걸요?
한시간이면 갈까?,"버스,지하철 타구"
한장 팔까 고민중,당근에 찾아봐요~
할 수 있나요??,못하지 1학년 입학전에 투표해서 당선되는데
헬스장 열엇나??,곧 연다는 소문있던데
혹시 어디인가여?,인재동 6층
혹시 커피반입돼?,웅 시끄럽지않고 너무 마스크안쓰고먹기만 하지않으면 괜찮앙 다먹고 쓰레기처리잘하구
혼영하기싫어서..,유성메박이 어디징
홀그레인 파나용?,홀그레인이 뭐에여?
홈페이지에도없는데,내말이 갑자기 왜이래
화요일에만 와??,웅̆̈!
"활동 마니해,,?",방학때 몰아서 하는 랩실입니다만?~
후리스 입어도되나,약간 쌀쌀 한듯
휴강 공지가 없네,개천절인데요...
휴강 안하는거지?,그르게..
휴학 언제하셔요?,이미함
ㅠㅠ 수강신청 망,뭐야 난줄
ㅠㅠㅠ 살려주세요,제가 봤을때는 저 x^2-16을 (x+4)(x-4)로 인수분해해서 최종으로는 -1/2{ln(x+4)+ln(x-4)}이거까지 해야될거 같네요
0.5학점 말고ㅠㅠ,다 0.5임
010이 어딨어??,N3동이면 흡연장에서 바로 보이는 입구로 들어가시면 보일거에요
0학점 듣기 가능?,최저는 없엉 근데 국장받으려면 최소학점 있어
