Q,A
Ah...당연히 2번이지!,Aㅏ
그게 뭐임? 문과도 있음?,없떠
몇회독 하는게 안전빵일까?,3회
발표 다음주부터 시작이지?,ㅈ된
ㅅㅂ 공부 한 사람 잇니?,샤럽
사람 많이 오는곳 있어용?,더쿡
상태 어떰 마라제육...?,별로
색상 어떤게 좋을거 같음?,핑크
수업끝나니깐 경찰차 있던데,몰랑
아 나한테 멘토가 필요한데,못해
아이브랑 비비 몇시에 와?,8시
애플워치 국룰 색이 뭐임?,실버
야 너두 깡촌살면 볼수있어,개굿
영어? 아니면 그냥 휴식?,휴식
왜 내려가있는지 아는사람?,불남
우리캬루도 좋아하시는거죠?,별;
이메일 보내고 답 받았어?,아뉭
진도 안맞아서 안될려나 ㅠ,궂이
질문할게 있어서 올려봐요!,저여
치킨먹을까요 피자먹을까요?,추킨
하나도 모르겠는데 비정상?,정상
학교근처에서 파는곳 있어?,약국
공백 포함인가요 제외인가요?,포함
공부할 공간있는지 아시는분?,1층
과목 더 신청하는사람 있??,ㄴㅏ
과제나 시험 어떻게 했어요?,대충
내년부터는 대면 할수있을까?,쌉가
몇 시부터 영업 시작함니까?,11
몇시까지 해!!???????,23
몇점맞음??? 난 86이던디,95
뭐 알아오라 한거 있었나요?,설사
부탁 좀 하나 해도 될까??,뭔뎅
블루베리잼 파는데 있어? ?,뚜쥬
빌려줄사람? 8시에 돌려줄게,ㅇㅋ
사람 제일 없는데가 어디임?,많아
상대적으로 많은건지 적은건지,많지
상황이 어케 돌아가고 있어?,박빙
아침 점심 저녁 뭐 먹어??,김찌
애즈펌 생각중인대잘하시려나?,잘함
어떤 기사 준비하시나요..?,전기
오늘 과제를 내주시네...?,갸꿀
이거 답이 뭐에요…??ㅠㅜㅠ,9π
이거 어떻게 푸나요..?ㅜㅜ,콴다
이번에 복학하는데 너무무섭다,22
학과사무실 어디인가요!? ㅜ,2층
흉부사진만 찍으면 되는거죠?,ㅡㅇ
a부터 c+까지 하나씩 받았당,ㅂㄹ
N3동은 뭐라고 불러? 느삼?,엔삼
넣으신분 있음? 어떻게 될려나,저욤
대체 누가 지지하는 거임..?,짐승
많이 듣는거임 적게 듣는거임?,보통
몸이 꽈배기임? 왤케 꼬여있음,꼽추
반팔? 긴팔? 날씨 어때..?,비와
보통 며칠 안에 처리 됌..?,하루
암만 찾아봐도 안 계십니다..,왜융
오늘 시험 몇 시에 치나요??,10
졸령 도서관에 처박혀서 잘깡?,집가
지금은 시간이 아주 많이남는데,가봐
학생생활관에 전화하면 되나요?,네넹
xs랑 필름이 같은건가요????,ㅇ넹
경력으로 인정해줌??경험인가??,경험
공부하려고 일어나니까 사라져있네,유감
그냥 가까운데 다니는게 낫나??,청춘
다른과 랩실도 들어갈 수 있음?,아마
들어가지는분?나만 안들어가지나?,된다
모으는ㄴ데 봉사 가성비 좋나여?,아녀
믿을만함? 신발이랑 셔츠살려는데,파정
사람 많아도 갈만했어? 어땠어?,지옥
실버인데 같이 피방에서 하실붐?,고고
오늘 하기 싫은데 도망가고 싶다,견뎌
우리학교는 왜이따구로 잡아놓냐?,ㄹㅇ
자취하는 애들아 한번 봐줘 ㅠㅠ,큰데
재학증명서 어디서 발급 받아?!,N1
절대평가 b컷이 몇 퍼센트일까?,70
점호했나요? 지금 몇층하고있음?,9층
졸업하는지 확인 어디서하면되나용,ㄱㅅ
진로나 목표가 어떻게 되세요??,삼숭
ㅊㅎㅇ교수님 오늘 시험맞아요??,내일
크롬으로 들어감 익스로 들어감?,크롬
풀렸나요? 좌석 제한 없나여??,이떠
14만원 털림ㅅㅂ.. 너무 비싸다,양호
1번 vs 2번 어떤게 나아요??,1번
1층 열람실 몇시까지 해 ..??,24
검사하는데 시간 얼마나 걸리나요?,1분
과대표하는거 어떤가요? 힘들까요?,힘듦
그냥 면도기보다 좋은점이 뭔가요?,간편
너네들 머써?? 다 알려줘!!!!,기본
대면일 것 같음비대면일 것 같음?,대면
뚜쥬랑 파바중에 어디가 더 좋아?,파바
"머먹지,,, 어디가 더 맛있어??",안녕
무조건 다 성공하는건 아닐거 아녀,가챠
벌써 시험 보는 교수님이 있어??,나…
복전 많이 하나 심선 많이 하나?,심선
알려주세요 맨투맨 하나로 추우려나,투웡
오늘 밴드부는 공연 안하나요?.?,해여
이럴라고 대학왔냐? 제발 정신차려,시잘
저희 학교 테니스장 어디있나요??,쩌기
중간 11 기말 9 인데 뭐뜸 ?,엄크
한번 신청해볼까 체력은 자신있는데,낮음
혼자 방에서 조용히 마시고 싶은데,마셔
화장실에서 연초 냄새 진하게 나네,미안
가장 늦게까지 하는곳 어딘가요???,모모
계절학기도 결석 4번하면 F인가요?,2번
동아리 면접때는 보통 뭐 물어봐요?,얼굴
마지막에 질문있냐고 하실때 튕김..,끝남
생산관리 쪽지 시험 총 몇번 있어?,4번
오믈 저녁에 술 한잔 할 사람….?,두잔
치즈스노윙vs야채스노윙 추천뭐시킴?,야채
학교 축제하나요? 하면 언제해요??,내냔
한번이라도 결석하면 많이 까이나여?,아님
할게 없어ㅠㅠ 다들 뭐해..?ㅠㅠㅠ,겜행
현충원역 가려면 어디로 가야하나요?,ㅍㅍ
15일 일요일이니 13일에 들어오나?,에휴
a4용지 한장 반이면 2쪽임 3쪽임?,3쪽
ㄱㅁㅎ 교수님 시험 많이 어려운가여?,쉬웡
강우진교수님 내일은 수업 있는거야??,예압
교외장학금 되면 성적장학금 못 받아?,별개
군 휴학 통합학사에서 하는거 맞나요?,야스
그냥 해봤는데 돼서 엄마 줄꺼임 ㅎㅎ,올ㅋ
난이도? 평균 몇점 정도 나올거같아?,80
대전에 일일권 있는 핼스장 아시는분?,지역
미적2 기말 평균 몇점정도 될까 ??,32
백신맞는날 수업 겹치먄 어떻게 해요?,째요
보통 계절학기 몇월부터 시작하나요 ?,바로
성적 평균 얼마정도 되냐?과도 알려줘,싫오
어디가 더 나아? 둘다 첨지원해봄..,신관
평일에 두달 정도 정기적으로 할만한거,공장
n13맞죠? 맨 끝 기업건물같이 생긴거,예ㅃ
고등학교 선생님 생신선물 뭐가 좋을까?,팬티
공지사항 올라오고 뭐 그러면 알림안뜸?,안뜸
과제 내신거에만 주로 내시는 편인가요?,응용
과제 내야하는거 분량이 어떻게 되나요?,한쪽
난방 틀어본사람? 온도 몇도로 해야대?,26
납부 확인하던 데 들어가서 하는 거임?,옛스
생활과 세금 과제당 몇 점이 만점이야?,4점
왜 강의계획서에 16주 기말고사가 있지,보강
웰빙 금 오후임 사람 성적 뭐 나왔어?,b+
이걸로 맺어진 사람있는지 궁금하네ㅋㅋㅋ,우왕
이번주 비대면으로 진행한다고 했었나요?,네!
전과 편입 재수 중에 뭐가 나을까요??,재수
토익 같은 자격증영어 말고 일상영어..,회화
L03.pdf에서 16~18쪽 안하셨지?,네네
18시? 17시?,17시
계속 나는데???,배기음
관심있는 사람??,즐라탄
그는 신인가???,역사다
몇 점 만점이야?,30?
몇 층에 있어요?,층별로
문제 많지 않음?,왜많음
뭐 타고 가나염?,비행기
받을 곳 있나요?,월드컵
부분점수 있을까?,ㅈ댓다
빅데이타 경진대회,안해요
소속 어디셔..?,노마드
승인이 안돼..?,되던데
신입생도있길래..,쉰입생
아는 사람 이씀?,귀두컷
아니 아무도 없네,..?
아ㅋㅋ 구라치지마,구라래
어렵게 내시나요?,네 ㅜ
오늘 메뉴아는분?,검색ㄱ
오늘은 넣어주나?,넣었네
오픈북 테스트야?,아닌듯
있으면 댓글좀..,동아리
장바구니 ㅇㅈ임?,ㅇㅈ~
컴활 많이 따나?,따던데
큐알 있는거 ㅇㅇ,만우절
하면 뭐생각남??,크로니
휴학 언제하셔요?,이미함
가을타서 그런걸까?,ㅎㅇㅌ
결과 몇시에 나와?,나옴?
과제 몇장정도 함?,10장
나랑 돈스타브할래?,굶지마
나만 이렇게 떠??,나도임
난이도 어땠음..?,ㅈ같음
논문 쓰는사람있니?,나..
다들 들어오셨나요?,아직여
다들 몇시에 가??,一台時
다들 언제부터야 ?,19일
독후감 개꿀인가요?,ㅇㅇㅇ
뭐가 제일 좋았음?,할리퀸
백스페이스 없나요?,del
보통 다들 언제봐?,8주차
보통 몇도로 해놔?,23도
분량 얼만큼 나옴?,2장반
사이렌 소리 뭐임?,호미들
생각보다 좀 낮아서,구지?
서점 몇시에 열음?,23시
시험 11시 맞죠?,12시
신청한 사람 있어?,남자?
아니면 대면인가여?,비대면
아무도 안들어왔지?,응..
아시는분 없나요??,머죠!
알바해보신분 힘듦?,힘들징
어떰 ? 버릴까 ?,할만함
언제 몇시에 해??,27~
에어컨 켜지는사람?,잘켜짐
유닛 얼마나 모음?,221
전세로사는사람있어?,반전세
정해진건 언제임??,종강날
조교님 그런거인가?,너잖아
집 얼마 주기로감?,1달?
챕터10까지 맞음?,ㅁ?ㄹ
호무새 한밭대였냐?,ㄱㅈㄷ
1 맞지않아요ㅠㅠㅠ?,0이요
1/20 너만오면 고,컴터?
7월 15일 인가요?,그런득
s8동 몇층인가요??,몇호?
갑자기 너무늘어남..,로이더
교재들은 언제사나요?,안사요
그래서 술 먹을사람?,몇살?
긴바지 반팔 괜찮나?,난반대
난 펜션잡고 놀기로함,호캉스
다들 어디까지했어요?,다 함
다들 옷 어디서 사?,백화점
도서관 가기 귀찮은데,없어용
돈 어디서 났냐ㅋㅋㅋ,레전드
랩실들 인터넷 안돼?,공사해
몇학점 이수했어야해?,몇학번
문법부터 해야해요..,ets
뭐야?????????,핑프년
뭘로해야 있어보일까?,ㄴㄷㅆ
보통 몇 학번이에요?,19?
알려주세요 언니오빠들,네 형
얼마나 하셨어????,30분
오늘 시험 3시맞지?,그렇다
오후에는 머하나요??,산타요
원래 언제쯤 갔나요?,3월말
월오전 ㄱㅅㅎ 교수님,내일임
이거 사람귀맞나..?,왜(?
이번엔 모집 안 함?,아마도
제출하는 곳이 없는데,퀴즈임
준비하는 사람 있나?,띵킹중
첫날 빠져도되나..?,ㄱㄴㄲ
축제 몇시에 하나요?,6시요
학식 몇시까지 에여?,2시용
102번 첫차 몇시임?,540
갑자기 과일이 먹고싶넹,다팔지
갑천 갔다옴 ㅁㅌㅊ??,이쁘다
객관식은 없는건가?.?,ㅇㅅㅇ
긴팔입으려하는데 ㄱㅊ?,ㄱㅊ음
까마귀 왜이렇게 많음?,999
난 옷만 이쁘게 입을거,꾸안꾸
다들 몇시에 읽혔어??,26?
다들 뭐해나만 집이지?,너두?
도서관인데 바람쐬고시퍼,ㄱㄱ?
둔산동 카멜같은곳?!!,은행동
ㄹㅇ인가..?  ㄱㅁㄸ,부럽누
먹어도돼? 배아플려나ㅠ,Eat
몇 층이죠? 1층 말고,3층?
뭐고? 동영상 어딨는고,그니가
복전 생각하고 있어..,N1임
비밀번호 뭐에요? ㅠㅠ,정역학
비번 뭐야?...;;;,ㄱㅇㅅ
사용하는 책 달라요??,같아요
사제동행때 보통 뭐함?,밥먹음
성적 안올라온거 맞지?,열받네
셔틀버스 지금 운영함?,한데요
소나무동 난방 안돼지?,되는디
숏패딩 어디꺼 입어??,스파오
신청기간 아시는분..?,몰라요
신청할까말까 고민중인데,수업함
아직도 업댓안된건가??,그런듯
언제 몇시에 보나요??,4시용
여쭤보고싶은게 있습니당,무엇?
예지관 말고 다른 데도,열람실
오늘 날씨 어떰? 춥니,쌀쌀함
우리학교 축제 누구옴?,최병옥
장소 어딘가요? 하시발,비밀~
전화하면 되는부분인가?,뭐야?
점수 나만 안나왔어??,나두~
점심으로 먹게 추천 좀,닭꼬치
젤 좋은곳이 어디야??,신세계
족보있는 사람 있나요?,없을걸
친구 사귀기 불편함??,딱히?
폰으로 함 컴으로 함?,컴이요
피시방 어디가 좋아??,쓰리팝
학교앞에 횟집이있어??,스시킴
한달 얼마정도 나와??,5만원
한달에 얼마정도 들어?,500
혹시 같이 할사람..?,나나나
혼자 할만한거 있을까?,투더문
12시 넘어서 배달 돼?,가바가
147키로 1인실 ㄱㄴ?,살좀빼
15만원선에 뭐 없을까?,요소수
1번 2번 뭘 더 ㅊㅊ?,난 1
1학점 남는데 뭐듣지..,듣지마
2번 답 이상한거 맞아?,어떤거
같이 나가기만 하실 분?,저요!
같이 먹을 분 있나요?!,몇짤?
과사무실 어디에 있나여?,s3동
김순재 교수님 어때요??,자옥씨
낮에도 맨투맨 입는사람?,ㄴ ㅏ
냉장고 몇층에ㅜ있어 ??,2 6
다른학과거 들어도 돼 ?,안돼지
만점이 100이 아닌가?,70임
몇번 타고 가야하나요?.,104
무슨색이 더 나은거같아?,검은색
빨래돌려도 됨? 인재동임,되간?
순위가 어떻게 되나요 ?,건양대
"썬칩, 포카칩 최애 과자",존맛탱
어떤종류의 빵을 좋아해?,야끼빵
유독 많은 이유가 뭐야?,맛있음
이번 주에 짜면 되려나?,담주요
있으면 내쫓아야 하나요?,공생해
점호 때 방 안 들어와?,케바케
조 못구하신분있으신가요?,정통?
중간고사 포함인가요???,전범위
축구 하는 사람 있오!?,없오!
토익 몇점 찍으셨나요??,870
톡방이 아직 안만들어져서,저요~
프랑스어 기말 몇점나옴?,27점
혹시 주인있으신가요..?,귀엽다
03인 사람 텔미 알아??,당연쓰
21개 맞았는데 몇 ㅌㅊ?,개잘함
계산 맞춰볼사람 쪽지 줘~,정상수
나만 이천원 들어왔니..?,이만원
널디 트레이닝복 어때보여?,아생없
님들은 언제부터 공부할거?,일주전
다들 맞을꺼야??투표 해줘,맞는다
다들 어떻게 나오셨나요??,A..
다들 캡모자 오떻게 빨아?,츄르릎
대면 충분히 즐긴듯????,ㅇㅈㅋ
따는데 보통 얼마나 걸림?,이주컷
뭐가 더 듣기 좋을까요??,ㅇㅇㄹ
사람마다 받는돈 다르나요?,당연?
시험 오픈북 아니죠...?,넴……
어제보다 기온은 높던데..,추어용
오늘 녹강 맞는 거죠..?,맞아요
오늘 오전에 줌 수업했어?,했어!
오전반인사람 시험 잘봤어?,쉽더라
이제야 성적나온거 확인했네,30점
차타고 지나가다가 벚꽃 봄,나두봄
970까지 얼마나 남았지??,800
구관 헬스장은 어디있나요??,없어요
다들 성적 어떻게 나왔어요?,개망함
다들 첫 알바 뭘로 했어??,홀서빙
다리 붓기 잘 빠져? 어때?,별로야
많이 가는 노래방이 어디야?,매드락
못들었는데 무슨 내용이었어?,헐나도
물vs우유뭐가 더 맛나나요?,우유요
발토 책 지금 있는사람? ㅠ,잇츠미
성적 다들  어떻게 나옴??,a제로
수업 오늘 없는거 맞지..?,없더라
식사 횟수 바꾸는거 ㄱㄴ ?,ㅂㄱㄴ
아직 모집중인 동아리있나요?,찰나?
양도받을의향 있는사람 있어?,어디얖
어떻게 하루에 시험이 4개?,이야!
오늘 열어? 평일에만 여나?,똥방구
원래 피피티 자료 안 줌??,갓덕용
음료 들고 들어가도 되나요?,웨안뒈
이 노래 생각나서 막 틀었당,개띵곡
이거 재수강 다 할수있음??,5학년
일미가 나아 왕가네가 나아?,왕가네
일반기계기사가 대부분인가요?,안따죠
있으시면 댓글이나 쪽지주세용,납땜?
재밌슴? 사람들 착하시려나?,료.리
점호 몇시에 끝나요 보통??,몰라용
쿠폰 오늘까지인데 볼 사람?,나줘잉
특히 교외는 어떤지 궁금해요,가수원
하루 확진자 사백몇명인거야?,일주일
하루전 벼락치기로 a가능해?,ㅆㄱㄴ
학점 몇으로 하셨어요들?!?,4.1
150명중에 몇명정도 받아요?,3프로
1주 정도 남았다고 하면...,풀 잠
갈치조림 +비비큐 핫윙ㅁㅌㅊ?,ㅅㅌㅊ
과마다 있나? 풋살하구싶어ㅠㅠ,저두요
그냥 접수만 되는 거 맞앙??,그러개
난 고민대 ..필요없을고갗은데,필요없
난 있다... 언제 나와 진짜,ㅌㅈㄹ
날씨 흐리던데 숏패딩은 에반가,낫배드
남는데  들어오실분 계신가요?,헐 나
누구나 들으면 아는노래 있나?,새벽비
"몇점까지 비벼볼만 한가요,,?",3.8
뭐 코끼리 살아? 왤케 쿵쿵대,8충?
뿌링볶음면 있나여 아는 분?!,업써용
수강했던 사람들 무슨 내용임?,과학사
수통골 돌짜장 어때? 맛있어?,맛있엉
시험은 어떤 식으로 나오나요?,손코딩
여러분같으면 어떻게 쓸건가요?,저축해
우리학교는 어디로가는지 궁금해,불국사
자켓도 다양해서 잘 모르갰는데,청자켓
재수강 아닌데도 들어도 되려나,못들어
지금 하는 카페 뭐 있엉..?,데일리
지금까지 대기면 가망없는걸까?,나도야
카피킬러 얼마 미만 나와야됨?,금쪽아
한밭 백반 먹구 리필됨 ?-?,궁금쓰
환전 얼마나 해서 가셨나요??,300
3학년에서 기사 셤본사람 있니?,못볼껄
"8월 6,7 보러가는 사람 손?",학폭?
강의시간 안써있는 과목은 뭐야?,무작위
검색햇는데 안나와서 물어본당 !,10시
고양이 소리인가??엄청 시끄럽네,야옹~
괜찮나요?? 사이비 아니겠죠??,사이비
기초미적 기초물리 시험 언제임?,423
나갈라니까 쪼금 늦은거같애서..,닫앗음
랩실은 보통 언제 들어가나요??,3학년
배달은 어떰?매장에서만 먹어봐서,맛잇음
상대방과의 호흡..? 화합..?,아니.
소순은 별로인데 다른곳은없나??,황서옥
시험 공지 아직 안해주셨지..?,했는데
ㅇㅊㅁ 교수님 녹강 나만 안떠?,미적1
아 ㅋㅋ...아...ㅋㅋ...ㅋ,울지마
애매하디애매하지만 뭐가 나을까?,무공강
오늘 ㅎㅎㄹ 교수님 수업 없음?,현하린
우영우가 제일 좋아하는 과자는?,오레오
이때도 계절학기 듣는사람 많나?,꽤있음
인쇄실 6시 이후에도 여나요??,아뉘요
있나요?쫄면이 갑자기 땡겨서..,김가네
중간고사 다들 몇점 맞았어..?,너는?
지나가다 보시면 알려주세요...,왜요?
코로나 이렇게 될줄 몰랐음 ;;,ㅋㅋㅋ
통합학사에서 조회된 사람 있어?,7시래
필수 아니지? 오늘까지던데...,아맞다
하나요? 공기밥 리필 무료인가요,무료임
한 명 남았길래 잡았는데 궁금혀,아..
혹시 강의실 어딘지 아시는 분?,601
화수목이야 수목금이야? 헷갈리네,수목금
확진이면 비대면인 거 맞나요??,984
1인실 신청했어 2인실 신청했어?,2인실
1학년때 한번했으면 안해도 대지?,해야댐
2500원인 곳 어디어디 이써??,세이빙
4차산업혁명의 이해 없어진건가요?,그런긋
gta5 돌아가구... 그정도..,100
교재 아직 못구한 애들있니..??,헐저요
그 4번에 하중 뉴튼 몇나왔어요?,10만
내일 2학년이 주웅 수 있나요)?,ㄴㄴㄴ
대선후보가 홍준표 이낙연이었다면?,이낙연
대전 최고의 아웃풋과 랜드마크는?,한밭대
대전에 여드름 압출 잘하는데있니?,오라클
딱딱해서 보니까 저런데 제조일인가,제조일
"모의토익 4,5월에 도 있나요??",네~~
몽블랑꺼 제일 많이 선호하나..?,저려미
무슨 수업 하는 건지 아는 사람?,웨요?
무슨색이 더 나아?베이지vs화이트,화이트
물리 12개 b는 ㄱㄴ??!!??,쌉ㄱㄴ
살아보신분 계신가요?? 어때요??,비싸여
술마셔도돼..?하.. 샤프심이쓰다,마셔라
시력 잴 수 있는 곳 있나욤…??,안경원
씨디에프는  교수님 재량아님???,마자용
아직 동아리 모집 하는대 있나??,그르게
어느정도임? 수능 등급으로 보자면,3~4
우수받은 애들아 몇학점 받았어??,어딘데
ㅈㅂㅎ교수님 빡센가요..  ?!!,헉..
자는데 드릴소리 들려서 깼네...,언제?
중간 56 기말 31 뭐 나올까?,비쁠?
중간고사 몇문제정도 나오셨나요??,6문제
춤연습하고싶어서 빌리고싶어요 ㅠㅠ,동방?
친구는 없고 혼자 갈만한데 추천좀,Pc방
코로나 검사 받아야겟네.....?,그니깐
택견 듣는 사람 중간고사 잘봤어?,과제?
하시는분들 다음주에 가야 하나요?,ㄴ ㄴ
학교 사이트 찾아볼래도 못 찾겠음,교양?
학교내에서 번따 해본 사람 있어?,있겠지
혼자먹을건데 양 어떰? 부족하려나,사바사
n13에 자판기 있음? 당떨어지는데,있어!
건환공 19학번 4월17일생 ㅂㅅㅎ,박성현
그 돈 아아들 돌려주는건 어떻겠나?,겠냐?
그냥 명령만 내리면 바로 실행되나?,디버깅
남잔데 얇으면 어떰..?손목 부위만,별로임
높은편은 아닌거임? 평타로 봐야하나,중상?
담양 발음이 담냥이에요 다먕이에요?,다무양
당연히 보건실 같은거 없겠지? ㅠㅠ,있는데
몇시부터 열어? 지금 전화해도 되나,09시
목요일 오후에 2학점 추가하고 싶음,빡시네
밭대 근처 편의점에서 보낼수있나??,우체국
밭붕이의 픽은 몬가요? 투표해주세욘,핫식스
보통 전과 학년 바뀌기전에 신청해?,바뀌고
알려주시면 정말 감사합니다 ㅠㅠㅠㅠ,일리터
약안먹고 그냥 밥잘먹고 잘자고...,잘싸고
어제 동아리 모임 왜 한거지 ㅋㅋㅋ,몇명?
예비보고서 쓴사람?? 얼마나 걸려?,1시간
음성확인서랑 2차맞은거 보여주면됨?,결핵도
이거 해결하는 방법 아는사람...?,재부팅
입문용 재즈 베이스 뭐가 괜찮나요?,데임?
주기적으로 연락하는 사람 몇명???,3명?
질문 드리고 싶은 게 있습니다 ㅠㅠ,뭔데용
컴퓨터실로가나요 1층으로가나요...,603
피에스타가니까 피파 화면 끊기더라;,우리집
학교 주변에 그네 탈 곳 없워..?,박그네
한밭대: 내가 너 좋아하면 안되냐?,비굴해
해본사람이나 뭔지 아는사람 댓글좀.,ㅅㅊㅈ
6전공이 힘들어요 6교양이 힘들어요?,6전골
기공 과사 이메일 어디서 확인하나요?,집에서
나는 걍 담배피는거 밖에없는데 궁금해,돈 씀
낼이 장바구니 아니었음?? 26이야?,26임
많나요??왜 별로 못본 거 같지...,개많음
문과애들은 뭐가 최종관문임? 포폴인가,치킨집
부모님 직업 번듯하지 못한사람 있음?,정-적
불편해 하시겠죠? 메세지가 나은가..,이메일
사람들 막 몰려있는데 오늘 뭐 있나?,피크닉
수요일반 시험 언제인지 아시는분..?,이번주
얇은 자켓 언제까지 입을 수 있을까?,한달?
양배추즙 먹는사람 있어? 뭐 먹어??,cj거
오늘 기숙사 식당 ㅈ몇시까지인가요??,한 시
오늘 나오는 날 아니야? 왜 안나와?,구니까
오늘 못가서 그런데 오티 뭐했어?..,놀았으
오늘 수업 하나요? ㅇㄱㅈ 교수님이요,아니요
옷 코디 어떻게맞춰야할지 모르겠다;;,무신사
우리학교 왜 과잠 안입고 다니는거야?,구려서
저는 이거 어떻게 외어야할지막막하네요,고맙다
카톡으로 지급되었다고 뜨는데 안보이네,카드앱
학교 주변 국밥 괜찮은 곳 ㅇㄷ ??,국돼국
화생공 3시간들어야함? 아님 6시간?,6시간
ㅠㅠ 중간 기말은 어떤식으로 내셔??,야바위
ㄱㅈㅅ 교수님 과제 나만 못하겠음.?.,저도용
공사소리 진짜 심한데 쉴 수는 있남..,좆같아
나만 연습문제푸는 강의 싱크 ㅈㄴ밀림?,ㅅㅂㅎ
담주까지 돈구해야하는데 할만한데 없을까,상하차
둔산동 은행동 말고 또 어디가 괜찮아?,뚠딴똥
맨앞에서 팬스잡으려면 몇시쯤 가면 됨?,4시?
밭대에 바게트 샌드위치 파는곳 있어??,반미?
보답해드리겠읍니다 조금만 빌려주세요ㅠㅠ,급하냐
보통 양면 다 써서 내?아니면 앞면만?,앞면만
빡세나요? 친구랑 같이 룸메하기로 해서,좆밥임
심심한데 산책하실?기숙사 거주하고 있음,나돈데
ㅇㅇ? 자리 널널하면 그냥 가서 할라구,널널~
애들아 역대급으로 성적 조져본게 뭐야?,2.9
어떰? 찍지 말라는데 얼굴을 찍는 거임,좟같음
오페라 학생증 할인 받으면 얼마에요??,2만원
왜 들으시나요??뭐 배우는 과목인가요?,HCI
월욜은 2월달인데 상관없이 가는거야??,3.2
이거 언제 다외워? 왜 오픈북 아니야?,내말이
이상한것만 아니면 아무책이나 다 됩니다,파친코
평점 얼마 이상이어야 우수C정도 받아?,3.5
했는데 안 했다고 문자 온 사람 있어?,나 ㅠ
혹시 정문 주변에 문구점 있나요...?,네!!
10분 지났으니까 오늘 수업끝인거지???,끝인듯
9세대 괜찮나요?,에어ㄱㄱ
9시수업 아...,ㅋㅋㅋㅋ
F일가능성 높아?,f나 d
나도 평평한데..,얼마나?
너네는 뭐해..?,뭔소리여
노점상들 오려나?,안막을듯
다들 어케 나옴?,영회2?
다들 점수 어때?,135점
다른데 사는사람?,둔동 삼
대체 언제 주냐?,장학금?
돈 내야해 혹시?,ㅇㅇ돈냄
많아?댓글에 손좀,난 미2
몇시까지 여나요?,10시!
몇시까지 인가요?,24시간
몇시까지 했나요?,9시 반
몇학점 신청했어?,18.5
모바일로 하는건가,사이트임
바로 밭대인거야~,뇌절금지
보통 무슨동이야?,크로바@
볼 사람 없어요?,4인팟?
비슷한거라도...,반클리프
수도세 얼마나와?,5-6천
